Name, Path, Extension, Size, Last Modified
20200825_111654.jpg,D:\Programming\FolderReporter\sandbox\20200825_111654.jpg,.jpg,1348.516kb ,19027.921319091965
Capture.PNG,D:\Programming\FolderReporter\sandbox\Capture.PNG,.png,63.707kb ,19139.71726191194
jU570fSTMucYUKyohxNC1g.png,D:\Programming\FolderReporter\sandbox\jU570fSTMucYUKyohxNC1g.png,.png,58.513kb ,19139.716831866714
20200825_111654.jpg,D:\Programming\FolderReporter\sandbox\New folder\20200825_111654.jpg,.jpg,1348.516kb ,19027.921319091965
20200825_111654.jpg,D:\Programming\FolderReporter\sandbox\New folder - Copy\20200825_111654.jpg,.jpg,1348.516kb ,19027.921319091965
20200825_111654.jpg,D:\Programming\FolderReporter\sandbox\New folder - Copy\New folder\20200825_111654.jpg,.jpg,1348.516kb ,19027.921319091965
